Mask,SN,X_n (m) (m),Y_n (m) (m),POMKH,cv_rabi_96_3-POMKH-Krig,cv_rabi_96_3-POMKH-Var,kme,ev,ratio
0,73,540795.5088,3262072.151,10.39,4.615575374,6.489638,5.774424626,33.34397976,5.138033857
0,74,586657.9767,3286341.071,5.88,7.495821799,4.156277,-1.615821799,2.610880086,0.628177594
0,75,568231.6133,3267283.415,4.81,5.895549167,3.10247119,-1.085549167,1.178416994,0.379831728
0,76,564571.4316,3271878.845,4.69,6.544276937,3.15490304,-1.854276937,3.438342959,1.089841087
0,77,548337.6652,3292789.064,6.36,5.732806488,4.32620743,0.627193512,0.393371701,0.09092761
0,78,555899.5878,3284298.237,8.67,5.736366242,4.03146519,2.933633758,8.606207026,2.134759106
0,79,525902.1943,3239406.666,7.27,10.45741674,5.24996329,-3.187416739,10.15962547,1.935180287
0,80,579314.0571,3279822.43,6.8,5.318813149,4.51328963,1.481186851,2.193914488,0.486100975
0,81,562759.6581,3234625.706,8.29,7.426136262,3.54360263,0.863863738,0.746260558,0.210593748
0,82,590130.1208,3255432.527,7.55,6.022366001,4.2112458,1.527633999,2.333665635,0.554150896
0,83,588091.5264,3240333.822,3.63,6.241840236,3.45205499,-2.611840236,6.821709418,1.976129997
0,84,597886.8696,3246570.225,6.63,4.868221508,3.21051202,1.761778492,3.103863455,0.966781447
0,85,571933.0704,3256687.277,6.79,6.534179371,4.31486161,0.255820629,0.065444194,0.015167159
0,86,577353.2215,3232253.046,10.6,6.213144968,4.39878885,4.386855032,19.24449707,4.37495359
0,87,564079.4487,3215858.376,7.94,11.05175319,4.23139307,-3.11175319,9.683007915,2.288373535
0,88,547853.9936,3216394.798,15.72,13.91119807,4.18561457,1.808801934,3.271764436,0.781668828
0,89,589510.7247,3231418.547,7.11,5.080007726,3.99943868,2.029992274,4.120868632,1.030361749
0,90,553186.159,3232576.452,10.42,9.15645301,4.12234835,1.26354699,1.596550996,0.387291626
0,91,614019.6355,3251492.299,8.94,8.168979364,3.88730779,0.771020636,0.594472821,0.152926615
0,92,606522.793,3231564.659,2.61,4.555791245,4.86079612,-1.945791245,3.786103569,0.778906063
0,93,593882.4287,3241611.387,3.54,5.267358729,3.31803121,-1.727358729,2.983768179,0.899258624
0,94,605592.6838,3244484.53,4.65,5.94746255,3.99249543,-1.29746255,1.683409069,0.42164333
0,95,555439.7823,3241051.163,5.88,9.073470714,3.94718399,-3.193470714,10.1982552,2.5836787
0,96,558435.841,3209057.258,13.37,12.68366983,4.06051204,0.686330173,0.471049106,0.116007317
0,97,627023.805,3221615.665,1.55,3.088824109,4.9139755,-1.538824109,2.367979638,0.481886741
0,98,569700.4095,3225278.524,6.7,8.731716724,3.81743683,-2.031716724,4.127872847,1.081320538
